generator_loss,discriminator_loss
2.0368742496250287,16.73787030454143
2.0824410074195496,10.380834606831437
2.082207878895191,10.698865153710976
2.0824624911884952,10.438231043557177
2.0822500047470887,10.34611882970893
2.0822263559550205,10.330851762631747
2.0821460965589305,10.340781066926962
2.082110322877274,10.342082310432328
2.082272921307814,10.505836694577548
2.082326877889927,10.337393571162451
2.0824835376455733,10.32542649187013
2.0826292068367938,10.32897968271967
2.082779168575907,10.341025932182287
2.082840539697126,10.403126680128887
2.0828640303880324,10.328488831312319
2.0828617447621003,10.325094868602205
2.0504199939123757,5.597967789353017
1.886461474310199,3.3879267974310294
1.8242427792229892,3.228337778675189
1.838386123796072,3.1853457832437773
1.878184364782003,2.9095318637922896
1.799236151921255,2.1971491141983095
1.759699966778284,2.191114429586372
1.7646219591025212,2.1150943180199766
1.848084661456401,2.0724065752262515
1.8442692319594332,2.0234090977850174
1.8597386365995903,2.0771015240206094
1.8672689407208773,1.9908382171778827
1.8734615239276136,2.0110001918740026
1.8848592278554512,2.206814235379161
1.8898103111735312,1.9539766494069926
1.9001710360412516,1.946498893525978
1.9075610346292462,1.933298626944312
1.9140747786835073,1.941846018389865
1.9208029963384905,1.907805725821273
1.929531142258112,1.9023707836517998
1.9405480059503115,1.9723951460577855
1.9521252033434309,1.8983677070781857
1.9590286293901369,1.8848720615399124
1.9655613063119044,1.8810650869079655
1.9778579137783883,1.8656502077860735
1.9870412242019848,1.851807049939787
1.9941537528438344,1.846974694513489
2.0024755773838216,1.882655595111543
2.013221879061173,1.8507310315475707
2.0144119978457784,1.8304302979985154
2.0185915030277752,1.819045801091777
2.025945172553108,1.8093136128406342
2.0289975940611105,1.7964303069109617
2.0378222001853077,1.7910958287819791
